Date,Open,High,Low,Close,Adj Close,Volume
2020-09-07,285.000000,286.869995,279.010010,282.130005,277.778290,968476
2020-09-08,285.000000,290.970001,284.100006,288.179993,283.734955,903189
2020-09-09,280.519989,285.589996,279.000000,281.000000,276.665710,991217
2020-09-10,285.119995,285.309998,281.040009,282.000000,279.109985,783709
2020-09-11,280.279999,284.500000,279.850006,283.500000,280.594604,686837
2020-09-14,285.250000,285.649994,281.660004,283.140015,280.238342,547081
2020-09-15,285.000000,288.769989,284.709991,287.239990,284.296295,1103603
2020-09-16,289.010010,291.950012,288.500000,291.179993,288.195892,1103139
2020-09-17,290.059998,291.299988,285.700012,285.720001,282.791870,984429
2020-09-18,286.559998,287.730011,282.619995,282.619995,279.723633,2131587
2020-09-21,284.799988,287.920013,282.619995,283.250000,280.347168,773943
2020-09-22,282.000000,288.079987,282.000000,286.350006,283.415405,784366
2020-09-23,289.510010,298.000000,288.540009,297.209991,294.164093,1224772
2020-09-24,292.309998,297.959991,290.260010,296.480011,293.441620,849679
2020-09-25,298.140015,298.450012,294.630005,296.709991,293.669250,537927
2020-09-28,299.250000,299.450012,295.049988,295.049988,292.026245,476256
2020-09-29,297.859985,297.859985,294.100006,295.540009,292.511261,430513
2020-09-30,290.920013,292.959991,287.000000,287.000000,284.058746,1138988
2020-10-01,289.119995,291.649994,287.500000,287.779999,284.830750,775794
2020-10-02,288.600006,288.600006,283.100006,284.670013,281.752625,756539
2020-10-05,289.200012,289.779999,286.000000,289.209991,286.246094,464707
2020-10-06,290.950012,290.950012,285.709991,287.000000,284.058746,539517
2020-10-07,288.440002,291.859985,285.859985,291.859985,288.868927,624124
2020-10-08,294.000000,299.399994,293.290009,298.940002,295.876404,912815
2020-10-09,299.600006,301.850006,294.359985,295.320007,292.293488,895655
2020-10-12,296.500000,297.399994,294.190002,296.670013,293.629639,693148
2020-10-13,299.399994,300.000000,297.000000,298.230011,295.173676,789292
2020-10-14,299.579987,306.179993,298.589996,302.290009,299.192078,1048108
2020-10-15,307.000000,307.000000,299.500000,300.989990,297.905365,1090515
2020-10-16,300.000000,300.709991,295.500000,299.000000,295.935791,1712154
2020-10-19,301.700012,306.459991,299.119995,304.130005,301.013184,619417
2020-10-20,304.049988,304.660004,300.510010,301.040009,297.954865,560672
2020-10-21,301.000000,301.760010,296.529999,297.119995,294.075043,695539
2020-10-22,293.799988,296.350006,291.399994,296.339996,293.303040,726111
2020-10-23,297.239990,297.989990,293.390015,294.820007,291.798615,500323
2020-10-26,296.320007,299.399994,294.700012,296.000000,292.966492,529114
2020-10-27,294.000000,294.500000,290.260010,291.970001,288.977814,783912
2020-10-28,292.200012,296.489990,292.200012,294.429993,291.412598,502178
2020-10-29,291.040009,293.890015,290.500000,291.500000,288.512634,531447
2020-10-30,294.250000,294.500000,287.559998,287.559998,284.613007,855634
2020-11-02,288.799988,289.829987,285.109985,286.049988,283.118469,652556
2020-11-03,288.390015,293.119995,287.059998,291.989990,288.997589,652704
2020-11-04,289.299988,291.940002,286.540009,291.579987,288.591797,721708
2020-11-05,294.940002,302.769989,294.630005,301.630005,298.538818,1141293
2020-11-06,301.799988,304.149994,300.440002,301.989990,298.895142,761279
2020-11-09,303.489990,307.690002,302.709991,304.920013,301.795105,651137
2020-11-10,310.000000,310.000000,304.100006,304.600006,301.478363,1195098
2020-11-11,309.000000,310.000000,305.899994,306.540009,303.398499,808589
2020-11-12,309.000000,311.730011,307.049988,308.579987,305.417603,787976
2020-11-13,311.000000,311.279999,307.500000,309.459991,306.288574,706654
2020-11-16,313.690002,315.850006,313.200012,315.040009,311.811401,81816
2020-11-17,316.630005,316.850006,310.839996,311.369995,308.179016,1102006
2020-11-18,313.239990,314.190002,310.559998,312.529999,309.327118,663345
2020-11-19,309.010010,311.000000,307.119995,310.269989,307.090271,877226
2020-11-20,314.000000,316.329987,312.299988,313.529999,310.316864,1404832
2020-11-23,317.000000,318.660004,316.160004,316.679993,313.434570,484922
2020-11-24,320.000000,320.420013,317.510010,318.579987,315.315094,589738
2020-11-25,315.000000,318.980011,310.609985,310.609985,307.426758,956652
2020-11-26,312.209991,312.559998,306.700012,307.040009,303.893372,722356
2020-11-27,305.619995,306.279999,301.809998,303.000000,299.894775,666043
2020-11-30,306.500000,306.500000,297.380005,297.380005,294.332367,1941400
2020-12-01,301.000000,303.440002,299.690002,299.750000,296.678070,840425
2020-12-02,303.670013,303.670013,295.820007,296.260010,293.223846,1018235
2020-12-03,295.089996,297.170013,293.720001,294.130005,291.115692,834316
2020-12-04,295.000000,295.000000,293.250000,293.799988,290.789063,649026
2020-12-07,297.459991,297.459991,293.350006,295.000000,291.976776,600220
2020-12-08,297.100006,298.869995,296.000000,297.589996,294.540222,907580
2020-12-09,301.980011,305.959991,300.000000,304.140015,301.023132,881526
2020-12-10,306.269989,306.269989,300.109985,301.290009,298.202301,966949
2020-12-11,295.000000,295.380005,291.089996,291.529999,288.542297,1113955
2020-12-14,292.209991,292.750000,286.500000,286.500000,283.563873,947555
2020-12-15,286.399994,291.380005,285.209991,289.839996,286.869629,768724
2020-12-16,293.799988,293.989990,286.950012,286.950012,284.009277,732842
2020-12-17,286.950012,288.260010,285.450012,288.160004,285.206848,1131311
2020-12-18,291.220001,292.000000,288.649994,288.980011,286.018494,2050014
2020-12-21,289.269989,290.720001,285.899994,286.369995,283.435211,575410
2020-12-22,287.529999,289.579987,286.170013,288.670013,285.711639,509421
2020-12-23,290.880005,292.250000,289.019989,289.519989,286.552917,423427
2020-12-24,290.989990,291.000000,286.880005,288.540009,285.582947,238639
2020-12-29,291.980011,291.980011,287.019989,288.299988,285.345398,242576
2020-12-30,287.739990,291.140015,286.420013,287.790009,284.840668,381719
2020-12-31,286.019989,286.760010,283.179993,283.179993,280.277893,401478
2021-01-04,284.709991,285.230011,283.299988,285.000000,282.079254,313002
2021-01-05,283.200012,285.619995,282.559998,285.619995,282.692902,555849
2021-01-06,282.000000,283.079987,278.380005,278.380005,275.527100,1005058
2021-01-07,280.709991,281.670013,275.000000,275.000000,272.181732,1149040
2021-01-08,274.799988,280.250000,274.100006,280.250000,277.377930,692123
2021-01-11,280.299988,282.000000,275.200012,275.950012,273.122009,592730
2021-01-12,275.010010,277.429993,272.779999,273.070007,270.271515,696688
2021-01-13,272.799988,273.000000,268.989990,271.040009,268.262329,968555
2021-01-14,270.299988,274.089996,270.019989,271.000000,268.222748,908873
2021-01-15,273.200012,273.500000,267.260010,267.260010,264.521057,780237
2021-01-18,269.239990,270.769989,266.929993,267.500000,264.758575,543870
2021-01-19,271.899994,271.899994,268.609985,271.140015,268.361298,925983
2021-01-20,273.089996,273.619995,270.869995,270.929993,268.153442,566569
2021-01-21,270.799988,271.440002,268.450012,268.779999,266.025482,1113793
2021-01-22,271.709991,276.399994,271.220001,274.600006,271.785828,1779801
2021-01-25,276.000000,276.200012,274.059998,275.540009,272.716217,491196
2021-01-27,272.500000,275.200012,270.820007,275.200012,272.379700,1056427
2021-01-28,268.000000,269.989990,263.660004,266.899994,264.164734,1122425
2021-01-29,272.000000,274.500000,268.709991,271.720001,268.935333,955904
2021-02-01,272.299988,278.309998,270.130005,278.059998,275.210388,662076
2021-02-02,277.000000,277.230011,270.600006,274.329987,271.518585,876879
2021-02-03,274.779999,281.239990,273.799988,280.260010,277.387817,918362
2021-02-04,279.709991,280.000000,275.359985,275.359985,272.538025,587281
2021-02-05,275.019989,277.170013,274.000000,276.329987,273.498077,581020
2021-02-08,277.140015,278.309998,274.700012,277.089996,274.250305,563712
2021-02-09,276.690002,277.000000,273.570007,273.570007,270.766388,767548
2021-02-10,274.040009,276.679993,272.589996,276.100006,273.270447,667552
2021-02-11,280.880005,280.880005,274.149994,276.700012,273.864319,445368
2021-02-12,277.000000,277.790009,274.570007,276.760010,273.923706,430813
2021-02-15,276.760010,280.790009,276.000000,280.200012,277.328430,555886
2021-02-16,280.980011,286.230011,278.290009,285.839996,282.910614,666675
2021-02-17,279.839996,281.589996,279.510010,281.170013,278.288513,939711
2021-02-18,295.220001,295.299988,286.369995,289.000000,286.038239,1384512
2021-02-19,283.220001,285.670013,274.429993,274.429993,271.617584,2299797
2021-02-22,273.730011,274.000000,266.410004,267.790009,265.045624,1524227
2021-02-23,267.940002,268.670013,266.500000,267.959991,265.213867,839899
2021-02-24,266.750000,269.440002,265.500000,267.959991,265.213867,696063
2021-02-25,267.000000,272.079987,267.000000,270.250000,267.480408,789871
2021-02-26,266.609985,267.630005,262.589996,262.589996,259.898895,1235330
2021-03-01,265.940002,270.399994,264.760010,270.279999,267.510101,734513
2021-03-02,273.799988,273.799988,269.019989,269.739990,266.975616,903389
2021-03-03,268.000000,268.609985,266.890015,267.000000,264.263733,597987
2021-03-04,253.720001,259.399994,251.649994,255.830002,254.494064,1739371
2021-03-05,253.470001,253.710007,246.100006,248.580002,247.281921,1342567
2021-03-08,253.149994,253.190002,246.000000,246.000000,244.715393,771740
2021-03-09,245.000000,251.160004,242.000000,250.160004,248.853683,826047
2021-03-10,255.350006,256.609985,252.210007,252.210007,250.892975,1020417
2021-03-11,253.880005,255.000000,250.029999,253.899994,252.574142,746647
2021-03-12,254.199997,255.490005,252.639999,253.259995,251.937485,400558
2021-03-15,252.910004,257.989990,252.554993,255.850006,254.513962,638847
2021-03-16,258.940002,263.609985,255.850006,261.809998,260.442841,871015
2021-03-17,261.260010,262.720001,258.779999,261.000000,259.637054,576522
2021-03-18,265.000000,265.100006,255.699997,256.089996,254.752701,939520
2021-03-19,255.000000,255.600006,251.910004,253.949997,252.623886,2299007
2021-03-22,255.009995,261.089996,252.520004,260.160004,258.801453,549731
2021-03-23,260.940002,262.380005,256.500000,261.000000,259.637054,532443
2021-03-24,262.779999,267.959991,260.929993,266.019989,264.630829,847739
2021-03-25,265.230011,270.920013,264.799988,269.829987,268.420959,950338
2021-03-26,270.269989,270.529999,265.239990,267.459991,266.063324,554184
2021-03-29,267.660004,268.679993,265.019989,265.390015,264.004150,436732
2021-03-30,265.940002,268.829987,262.660004,262.660004,261.288391,483113
2021-03-31,264.899994,266.989990,262.519989,264.649994,263.268005,775013
2021-04-01,267.000000,267.000000,261.929993,263.000000,261.626617,615339
2021-04-06,263.250000,264.850006,261.570007,263.600006,262.223511,820936
2021-04-07,264.000000,266.480011,262.029999,262.989990,261.616669,780977
2021-04-08,264.779999,265.940002,262.100006,265.940002,264.551270,520729
2021-04-09,263.839996,266.600006,262.279999,263.399994,262.024536,596694
