Date,Open,High,Low,Close,Adj Close,Volume
2020-09-07,0.760000,0.765000,0.750000,0.760000,0.760000,41921
2020-09-08,0.765000,0.805000,0.760000,0.785000,0.785000,36882
2020-09-09,0.780000,0.795000,0.770000,0.770000,0.770000,40707
2020-09-10,0.780000,0.820000,0.780000,0.815000,0.815000,30532
2020-09-11,0.815000,0.815000,0.760000,0.765000,0.765000,37304
2020-09-14,0.765000,0.765000,0.750000,0.760000,0.760000,37059
2020-09-15,0.755000,0.770000,0.740000,0.770000,0.770000,54580
2020-09-16,0.770000,0.780000,0.750000,0.770000,0.770000,28644
2020-09-17,0.760000,0.780000,0.755000,0.780000,0.780000,29228
2020-09-18,0.780000,0.780000,0.750000,0.750000,0.750000,74357
2020-09-21,0.760000,0.790000,0.740000,0.750000,0.750000,69936
2020-09-22,0.750000,0.755000,0.720000,0.725000,0.725000,115627
2020-09-23,0.730000,0.790000,0.720000,0.720000,0.720000,46458
2020-09-24,0.730000,0.730000,0.720000,0.720000,0.720000,17007
2020-09-25,0.730000,0.735000,0.720000,0.725000,0.725000,19432
2020-09-28,0.730000,0.730000,0.720000,0.730000,0.730000,27889
2020-09-29,0.760000,0.760000,0.725000,0.725000,0.725000,21922
2020-09-30,0.730000,0.740000,0.720000,0.720000,0.720000,40356
2020-10-01,0.720000,0.745000,0.720000,0.720000,0.720000,55401
2020-10-02,0.710000,0.720000,0.705000,0.720000,0.720000,36528
2020-10-05,0.720000,0.745000,0.720000,0.745000,0.745000,1294
2020-10-06,0.750000,0.750000,0.725000,0.735000,0.735000,23326
2020-10-07,0.710000,0.720000,0.710000,0.720000,0.720000,21005
2020-10-08,0.720000,0.730000,0.710000,0.710000,0.710000,24305
2020-10-09,0.705000,0.720000,0.705000,0.720000,0.720000,14070
2020-10-12,0.725000,0.735000,0.705000,0.710000,0.710000,28990
2020-10-13,0.710000,0.730000,0.710000,0.725000,0.725000,64326
2020-10-14,0.730000,0.730000,0.700000,0.700000,0.700000,57015
2020-10-15,0.720000,0.725000,0.700000,0.720000,0.720000,38777
2020-10-16,0.725000,0.725000,0.710000,0.710000,0.710000,23541
2020-10-19,0.725000,0.735000,0.715000,0.735000,0.735000,122738
2020-10-20,0.735000,0.735000,0.705000,0.710000,0.710000,57127
2020-10-21,0.735000,0.735000,0.720000,0.725000,0.725000,29992
2020-10-22,0.735000,0.735000,0.705000,0.715000,0.715000,67159
2020-10-23,0.735000,0.735000,0.715000,0.715000,0.715000,14054
2020-10-26,0.720000,0.720000,0.700000,0.700000,0.700000,131364
2020-10-27,0.710000,0.750000,0.695000,0.750000,0.750000,171944
2020-10-28,0.740000,0.750000,0.730000,0.750000,0.750000,111824
2020-10-29,0.740000,0.740000,0.725000,0.725000,0.725000,14900
2020-10-30,0.745000,0.765000,0.725000,0.735000,0.735000,94788
2020-11-02,0.735000,0.735000,0.730000,0.730000,0.730000,34857
2020-11-03,0.735000,0.760000,0.735000,0.735000,0.735000,20918
2020-11-04,0.770000,0.805000,0.770000,0.770000,0.770000,59510
